Text,Emoji_1,Emoji_2,Emoji_3,Emoji_4,Emoji_5,Pct_1,Pct_2,Pct_3,Pct_4,Pct_5
Errr dude.... They're gone unhappy  Asked other league memeber to check  the guys are go ,0,40,33,41,12,0.069425635,0.05730947,0.052110445,0.051030144,0.048380468
All of the park areas in Paris are marked as green on Google maps,0,12,25,33,28,0.084451504,0.06924511,0.06267011,0.052740198,0.052613094
As Nani in lies unconscious,0,11,41,48,14,0.14004757,0.07249985,0.07063711,0.067968756,0.047446977
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,1,55,35,5,37,0.14936464,0.13598865,0.121002145,0.10207793,0.07103777
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,1,55,35,5,37,0.12594454,0.1128894,0.09212147,0.07267315,0.053139094
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,1,55,35,5,37,0.09887796,0.056881636,0.05488443,0.04804347,0.047337063
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,1,55,35,5,37,0.06545419,0.06040591,0.050751526,0.043386344,0.042888265
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,1,55,35,5,37,0.12027958,0.11689093,0.10918764,0.09650256,0.07376784
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,1,55,35,5,37,0.041354325,0.037844606,0.037252508,0.036268223,0.034745343
I hate when my mom ask so you going or no? Bc then I want to stay home but i missed too much school already unhappy ,1,55,37,19,32,0.13822971,0.122632466,0.09136626,0.05776009,0.05210001
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,1,55,35,5,37,0.117548965,0.11656758,0.10700376,0.070910305,0.06399641
there's always shit like this. there's always people who are less deserving getting tickets,1,35,55,5,37,0.11756767,0.093032114,0.0632866,0.054122277,0.04364882
My mom knows the struggle of this drystreak I'm on unhappy  ,1,45,5,27,55,0.10788887,0.048656758,0.04531124,0.039585356,0.038202256
WHY ARE YOU WHIMPER AT ME? ,1,25,19,22,55,0.10785307,0.09517183,0.08715978,0.08593033,0.06601471
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,1,55,35,5,37,0.18324067,0.07086693,0.05814215,0.057031278,0.04367474
YG should have sent them to MCD. I want to see them holding the trophy unhappy  anyways ,1,55,35,5,37,0.2003559,0.19594167,0.076251924,0.06434866,0.059720594
